food_code,food_name,calorie,carb,protein,fat
D101-004160000-0001,국밥_돼지머리,137,15.94,6.7,5.16
D101-004310000-0001,국밥_순대국밥,75,10.38,3.17,2.28
D101-004500000-0001,국밥_콩나물,52,10.93,1.45,0.24
D101-006000000-0001,기장밥,166,36.77,3.44,0.57
D101-007000000-0001,김밥,140,19.98,4.84,4.55
D101-007070000-0001,김밥_김치,130,19.17,4.3,4.03
D101-007090000-0001,김밥_날치알,177,28.66,6.1,4.26
D101-007120000-0001,김밥_돈가스,202,31.64,5.77,5.81
D101-007280000-0001,김밥_소고기,179,25.78,6.46,5.56
D101-007450000-0001,김밥_참치,174,20.26,7,7.22
D101-007480000-0001,김밥_채소,158,26.65,4.6,3.65
D101-007490000-0001,김밥_치즈,177,22.1,6.24,7.03
D101-007520000-0001,김밥_풋고추,169,27.52,4.88,4.41
D101-010080000-0001,덮밥_낙지,150,24.12,5.88,3.34
D101-010110000-0001,덮밥_닭고기,125,14.82,11.4,2.18
D101-010150000-0001,덮밥_돼지고기(제육),202,16.86,9.43,10.77
D101-010240000-0001,덮밥_불고기,182,26.96,6.6,5.31
D101-010390000-0001,덮밥_오징어,135,21.94,7.18,2.01
D101-016000000-0001,보리밥,161,36.77,2.9,0.24
D101-017000000-0001,볶음밥,183,33.97,5.56,2.76
D101-017030000-0001,볶음밥_계란,225,24.23,6.62,11.28
D101-017070000-0001,볶음밥_김치,167,15.74,5.32,9.18
D101-017260000-0001,볶음밥_새우,172,22.85,6.31,6.14
D101-017280000-0001,볶음밥_소고기,176,21.76,7.59,6.48
D101-017450000-0001,볶음밥_참치,180,32.9,4.62,3.27
D101-017480000-0001,볶음밥_채소,182,28.74,4.72,5.39
D101-017510000-0001,볶음밥_표고버섯,184,31.79,3.36,4.81
D101-018000000-0001,비빔밥,142,18.84,6.86,4.32
D101-018130000-0001,비빔밥_돌솥,147,24.68,5.39,2.95
D101-018430000-0001,비빔밥_육회,147,22.92,6.39,3.36
D101-019460000-0001,삼각김밥_참치마요네즈,199,25.45,5.93,8.21
